idChamber;date;Air humidity;Air temperature;Light;VPD
C3;2018-02-19 19:50:00;68.33;20.37;151.8;0.757
C3;2018-02-19 20:00:00;68.06;20.11;157.1;0.751
C3;2018-02-19 20:10:00;65.17;18.95;7.65;0.761
C3;2018-02-19 20:20:00;62.22;17.06;7.65;0.734
C3;2018-02-19 20:30:00;62.99;17.68;7.65;0.748
C3;2018-02-19 20:40:00;63.37;17.13;7.59;0.715
C3;2018-02-19 20:50:00;62.41;17.43;7.46;0.747
C3;2018-02-19 21:00:00;63.89;17.17;7.52;0.706
C3;2018-02-19 21:10:00;62.67;17.27;7.59;0.735
C3;2018-02-19 21:20:00;63.71;17.37;7.65;0.719
C3;2018-02-19 21:30:00;62.36;16.88;7.59;0.724
C3;2018-02-19 21:40:00;63.34;17.69;7.71;0.742
C3;2018-02-19 21:50:00;61.44;16.67;7.59;0.732
C3;2018-02-19 22:00:00;62.94;17.46;7.65;0.738
C3;2018-02-19 22:10:00;62.6;17.04;7.59;0.726
C3;2018-02-19 22:20:00;62.01;17.18;7.59;0.743
C3;2018-02-19 22:30:00;64.29;17.36;7.65;0.709
C3;2018-02-19 22:40:00;61.72;16.84;7.65;0.734
C3;2018-02-19 22:50:00;64.79;17.51;7.65;0.704
C3;2018-02-19 23:00:00;61.94;16.76;7.52;0.726
C3;2018-02-19 23:10:00;62.81;17.52;7.59;0.744
C3;2018-02-19 23:20:00;62.83;16.66;7.33;0.705
C3;2018-02-19 23:30:00;62.69;17.37;7.65;0.74
C3;2018-02-19 23:40:00;62.07;16.86;7.71;0.728
C3;2018-02-19 23:50:00;61.6;17.13;7.65;0.749
C3;2018-02-20 00:00:00;63.17;17.19;7.65;0.722
C3;2018-02-20 00:10:00;62.53;16.91;7.65;0.721
C3;2018-02-20 00:20:00;63.94;17.49;7.59;0.721
C3;2018-02-20 00:30:00;60.92;16.66;7.65;0.741
C3;2018-02-20 00:40:00;64.04;17.61;7.65;0.723
C3;2018-02-20 00:50:00;59.94;16.6;7.59;0.757
C3;2018-02-20 01:00:00;63.26;17.4;7.59;0.729
C3;2018-02-20 01:10:00;62.21;16.91;7.65;0.728
C3;2018-02-20 01:20:00;61.79;17.03;7.65;0.741
C3;2018-02-20 01:30:00;62.28;17.42;7.65;0.749
C3;2018-02-20 01:40:00;61.92;16.79;7.71;0.728
C3;2018-02-20 01:50:00;62.33;17.28;7.65;0.742
C3;2018-02-20 02:00:00;61.94;17.08;7.65;0.74
C3;2018-02-20 02:10:00;61.65;16.92;7.71;0.739
C3;2018-02-20 02:20:00;63.34;17.38;7.71;0.727
C3;2018-02-20 02:30:00;60.93;16.72;7.71;0.743
C3;2018-02-20 02:40:00;63.15;17.51;7.59;0.737
C3;2018-02-20 02:50:00;60.75;16.81;7.71;0.751
C3;2018-02-20 03:00:00;62.85;17.24;7.71;0.73
C3;2018-02-20 03:10:00;62.41;17.37;7.71;0.744
C3;2018-02-20 03:20:00;62.05;16.82;7.71;0.726
C3;2018-02-20 03:30:00;62;17.23;7.71;0.745
C3;2018-02-20 03:40:00;62.69;17.11;7.71;0.727
C3;2018-02-20 03:50:00;61.11;16.85;7.65;0.746
C3;2018-02-20 04:00:00;62.89;17.48;7.59;0.74
C3;2018-02-20 04:10:00;62;16.64;7.71;0.72
C3;2018-02-20 04:20:00;63.81;17.42;7.71;0.719
C3;2018-02-20 04:30:00;61.26;16.96;7.71;0.748
C3;2018-02-20 04:40:00;62.45;16.98;7.71;0.727
C3;2018-02-20 04:50:00;62.51;17.3;7.65;0.739
C3;2018-02-20 05:00:00;60.98;16.84;7.59;0.748
C3;2018-02-20 05:10:00;62.03;17.21;7.65;0.745
C3;2018-02-20 05:20:00;62.48;17.13;7.71;0.732
C3;2018-02-20 05:30:00;61.27;16.91;7.71;0.745
C3;2018-02-20 05:40:00;64.66;17.51;7.71;0.708
C3;2018-02-20 05:50:00;60.26;16.56;7.71;0.748
C3;2018-02-20 06:00:00;62.45;17.53;7.71;0.751
C3;2018-02-20 06:10:00;61.64;16.62;7.65;0.725
C3;2018-02-20 06:20:00;63.92;17.69;7.71;0.729
C3;2018-02-20 06:30:00;62.53;16.67;7.71;0.71
C3;2018-02-20 06:40:00;63.35;17.53;7.59;0.734
C3;2018-02-20 06:50:00;61.75;16.72;7.71;0.727
C3;2018-02-20 07:00:00;64.51;17.68;7.71;0.716
C3;2018-02-20 07:10:00;61.51;16.69;7.71;0.731
C3;2018-02-20 07:20:00;63.78;17.57;7.71;0.727
C3;2018-02-20 07:30:00;61.44;16.9;7.71;0.741
C3;2018-02-20 07:40:00;63.15;17.35;7.71;0.729
C3;2018-02-20 07:50:00;61.92;17.02;7.71;0.737
C3;2018-02-20 08:00:00;61.93;17.24;7.71;0.747
C3;2018-02-20 08:10:00;64.14;17.72;131.5;0.725
C3;2018-02-20 08:20:00;67.82;20.06;149.5;0.755
C3;2018-02-20 08:30:00;67.78;19.79;154.1;0.744
C3;2018-02-20 08:40:00;67.75;19.75;147.7;0.741
C3;2018-02-20 08:50:00;68.19;19.97;158;0.742
C3;2018-02-20 09:00:00;67.9;20.27;156.5;0.763
C3;2018-02-20 09:10:00;68.05;20;144.4;0.747
C3;2018-02-20 09:20:00;67.88;19.9;153.7;0.746
C3;2018-02-20 09:30:00;68.05;20.18;154.9;0.755
C3;2018-02-20 09:40:00;68.06;20.23;143.9;0.757
C3;2018-02-20 09:50:00;67.63;19.97;151.4;0.755
C3;2018-02-20 10:00:00;68.64;20.3;153.6;0.747
C3;2018-02-20 10:10:00;67.71;19.98;139.8;0.754
C3;2018-02-20 10:20:00;67.99;20.24;153.2;0.759
C3;2018-02-20 10:30:00;68.19;20.19;154.9;0.752
C3;2018-02-20 10:40:00;66.9;19.81;141.8;0.764
C3;2018-02-20 10:50:00;68.54;20.43;155.1;0.755
C3;2018-02-20 11:00:00;67.28;19.93;156.9;0.761
C3;2018-02-20 11:10:00;68.02;20.27;142.3;0.76
C3;2018-02-20 11:20:00;68.76;20.22;155.8;0.74
C3;2018-02-20 11:30:00;67.35;19.95;156.6;0.76
C3;2018-02-20 11:40:00;68.56;20.38;145.9;0.752
C3;2018-02-20 11:50:00;67.32;19.8;155.8;0.754
C3;2018-02-20 12:00:00;68.65;20.42;155.9;0.752
C3;2018-02-20 12:10:00;67.64;19.87;139.7;0.75
C3;2018-02-20 12:20:00;67.95;20.21;155.6;0.759
C3;2018-02-20 12:30:00;68.09;20.26;157.4;0.758
C3;2018-02-20 12:40:00;67.64;19.88;145.7;0.751
C3;2018-02-20 12:50:00;68.39;20.4;157.2;0.757
C3;2018-02-20 13:00:00;67.8;20.11;158.7;0.758
C3;2018-02-20 13:10:00;67.73;20.07;144.6;0.758
C3;2018-02-20 13:20:00;67.99;20.37;159.8;0.765
C3;2018-02-20 13:30:00;67.56;19.9;160.7;0.753
C3;2018-02-20 13:40:00;68.27;20.33;148.9;0.757
C3;2018-02-20 13:50:00;68.45;20.31;162;0.752
C3;2018-02-20 14:00:00;66.81;19.98;164.1;0.775
C3;2018-02-20 14:10:00;67.99;20.5;151.3;0.772
C3;2018-02-20 14:20:00;66.55;19.88;164.2;0.776
C3;2018-02-20 14:30:00;68.07;20.48;162.8;0.769
C3;2018-02-20 14:40:00;67.84;20.08;152.7;0.755
C3;2018-02-20 14:50:00;68.2;20.45;162.7;0.764
C3;2018-02-20 15:00:00;67.95;20.25;164.9;0.76
C3;2018-02-20 15:10:00;67.64;20.08;151.4;0.76
C3;2018-02-20 15:20:00;68.28;20.4;162.5;0.76
C3;2018-02-20 15:30:00;67.64;20;163.3;0.756
C3;2018-02-20 15:40:00;68.18;20.32;148.8;0.758
C3;2018-02-20 15:50:00;68.21;20.3;163;0.757
C3;2018-02-20 16:00:00;68.09;20.17;163.3;0.753
C3;2018-02-20 16:10:00;67.62;20.08;145.6;0.76
C3;2018-02-20 16:20:00;68.36;20.43;159.2;0.759
C3;2018-02-20 16:30:00;67.67;20.05;163;0.758
C3;2018-02-20 16:40:00;67.91;20.16;147.9;0.757
C3;2018-02-20 16:50:00;68.01;20.24;162.9;0.759
C3;2018-02-20 17:00:00;67.61;19.96;161.6;0.755
C3;2018-02-20 17:10:00;67.89;20.2;148.2;0.76
C3;2018-02-20 17:20:00;68.33;20.32;162.8;0.755
C3;2018-02-20 17:30:00;67.18;19.9;159.9;0.762
C3;2018-02-20 17:40:00;68.61;20.43;146.9;0.753
C3;2018-02-20 17:50:00;67.28;19.89;155.7;0.76
C3;2018-02-20 18:00:00;68.34;20.43;157.1;0.76
C3;2018-02-20 18:10:00;67.91;19.99;145.9;0.749
C3;2018-02-20 18:20:00;67.91;20.17;156;0.758
C3;2018-02-20 18:30:00;68.48;20.2;155.7;0.746
C3;2018-02-20 18:40:00;67.59;19.86;143;0.751
C3;2018-02-20 18:50:00;68.02;20.39;155.6;0.765
C3;2018-02-20 19:00:00;68.11;20.13;157.2;0.751
C3;2018-02-20 19:10:00;67.82;19.99;143.3;0.751
C3;2018-02-20 19:20:00;67.92;20.33;160.2;0.765
C3;2018-02-20 19:30:00;67.46;19.94;160;0.758
C3;2018-02-20 19:40:00;68.01;20.14;150.5;0.754
C3;2018-02-20 19:50:00;68.06;20.24;163.8;0.758
C3;2018-02-20 20:00:00;67.66;20.05;163.7;0.758
C3;2018-02-20 20:10:00;66.04;19.22;7.59;0.754
C3;2018-02-20 20:20:00;61.9;17.04;7.65;0.74
C3;2018-02-20 20:30:00;64.27;17.84;7.65;0.729
C3;2018-02-20 20:40:00;63.89;17.06;7.52;0.702
C3;2018-02-20 20:50:00;62.33;17.41;7.52;0.748
C3;2018-02-20 21:00:00;62.71;17.24;7.39;0.733
C3;2018-02-20 21:10:00;63.02;17.13;7.52;0.722
C3;2018-02-20 21:20:00;62.57;17.55;7.52;0.751
C3;2018-02-20 21:30:00;61.27;16.68;7.52;0.735
C3;2018-02-20 21:40:00;64.69;17.66;7.59;0.713
C3;2018-02-20 21:50:00;62.56;16.77;7.59;0.714
C3;2018-02-20 22:00:00;62.79;17.4;7.71;0.739
C3;2018-02-20 22:10:00;62.38;17.14;7.65;0.734
C3;2018-02-20 22:20:00;61.66;16.87;7.65;0.737
C3;2018-02-20 22:30:00;64.12;17.67;7.71;0.724
C3;2018-02-20 22:40:00;62.34;16.85;7.71;0.722
C3;2018-02-20 22:50:00;63.1;17.56;7.71;0.741
C3;2018-02-20 23:00:00;59.84;16.47;7.71;0.752
C3;2018-02-20 23:10:00;63.33;17.6;7.71;0.737
C3;2018-02-20 23:20:00;60.24;16.59;7.65;0.75
C3;2018-02-20 23:30:00;63.49;17.42;7.71;0.726
C3;2018-02-20 23:40:00;61.75;16.89;7.65;0.735
C3;2018-02-20 23:50:00;61.76;17.08;7.71;0.743
C3;2018-02-21 00:00:00;62.66;17.29;7.71;0.736
C3;2018-02-21 00:10:00;62.18;16.75;7.59;0.721
C3;2018-02-21 00:20:00;63.8;17.73;7.46;0.734
C3;2018-02-21 00:30:00;62.26;16.49;7.71;0.707
C3;2018-02-21 00:40:00;62.41;17.47;7.71;0.749
C3;2018-02-21 00:50:00;61.81;16.77;7.71;0.729
C3;2018-02-21 01:00:00;63.93;17.42;7.59;0.716
C3;2018-02-21 01:10:00;61.28;16.88;7.59;0.744
C3;2018-02-21 01:20:00;62.06;17.22;7.65;0.744
C3;2018-02-21 01:30:00;62.11;17.07;7.52;0.736
C3;2018-02-21 01:40:00;62.15;17.07;7.71;0.736
C3;2018-02-21 01:50:00;62.82;17.3;7.71;0.734
C3;2018-02-21 02:00:00;60.74;16.59;7.65;0.741
C3;2018-02-21 02:10:00;63.05;17.54;7.52;0.74
C3;2018-02-21 02:20:00;60.44;16.51;7.71;0.742
C3;2018-02-21 02:30:00;63.14;17.59;7.65;0.741
C3;2018-02-21 02:40:00;61.95;16.64;7.71;0.72
C3;2018-02-21 02:50:00;63.52;17.59;7.52;0.732
C3;2018-02-21 03:00:00;61.18;16.62;7.71;0.734
C3;2018-02-21 03:10:00;62.68;17.37;7.71;0.74
C3;2018-02-21 03:20:00;61.11;16.89;7.65;0.748
C3;2018-02-21 03:30:00;64.1;16.98;7.71;0.695
C3;2018-02-21 03:40:00;62.56;17.37;7.71;0.742
C3;2018-02-21 03:50:00;60.97;16.55;7.71;0.734
C3;2018-02-21 04:00:00;63.18;17.38;7.71;0.731
C3;2018-02-21 04:10:00;61.21;16.81;7.71;0.742
C3;2018-02-21 04:20:00;62.79;17.02;7.71;0.722
C3;2018-02-21 04:30:00;62.91;17.16;7.71;0.725
C3;2018-02-21 04:40:00;60.86;16.88;7.65;0.751
C3;2018-02-21 04:50:00;64.09;17.3;7.71;0.708
C3;2018-02-21 05:00:00;61.4;16.7;7.71;0.734
C3;2018-02-21 05:10:00;63.77;17.55;7.71;0.726
C3;2018-02-21 05:20:00;61.38;16.47;7.71;0.722
C3;2018-02-21 05:30:00;64.07;17.54;7.71;0.719
C3;2018-02-21 05:40:00;62.32;16.77;7.71;0.719
C3;2018-02-21 05:50:00;62.59;17.4;7.71;0.743
C3;2018-02-21 06:00:00;61.39;16.64;7.71;0.731
C3;2018-02-21 06:10:00;62.99;17.44;7.71;0.736
C3;2018-02-21 06:20:00;61.34;16.68;7.65;0.734
C3;2018-02-21 06:30:00;64.45;17.56;7.71;0.713
C3;2018-02-21 06:40:00;61.94;16.74;7.71;0.725
C3;2018-02-21 06:50:00;63.01;17.43;7.71;0.735
C3;2018-02-21 07:00:00;61.05;16.65;7.71;0.737
C3;2018-02-21 07:10:00;63.61;17.42;7.65;0.724
C3;2018-02-21 07:20:00;61.62;16.56;7.65;0.723
C3;2018-02-21 07:30:00;63.23;17.5;7.71;0.735
C3;2018-02-21 07:40:00;62.46;16.57;7.71;0.707
C3;2018-02-21 07:50:00;64.08;17.73;7.71;0.728
C3;2018-02-21 08:00:00;61.38;16.47;7.71;0.723
C3;2018-02-21 08:10:00;65.84;18.51;137.4;0.726
C3;2018-02-21 08:20:00;68.2;19.92;153.4;0.739
C3;2018-02-21 08:30:00;68.58;20.03;159.7;0.735
C3;2018-02-21 08:40:00;68.01;19.99;151.4;0.747
C3;2018-02-21 08:50:00;67.61;19.74;161.2;0.745
C3;2018-02-21 09:00:00;67.52;19.94;162.2;0.756
C3;2018-02-21 09:10:00;67.7;20.2;148.9;0.764
C3;2018-02-21 09:20:00;68.15;20.1;162.5;0.749
C3;2018-02-21 09:30:00;67.35;19.78;162.4;0.753
C3;2018-02-21 09:40:00;67.29;20.12;148.6;0.769
C3;2018-02-21 09:50:00;67.69;20.22;160.1;0.765
C3;2018-02-21 10:00:00;67.47;19.76;158.7;0.749
C3;2018-02-21 10:10:00;67.98;20.19;144.2;0.757
C3;2018-02-21 10:20:00;68.45;20.16;158.1;0.744
C3;2018-02-21 10:30:00;67.13;19.79;156.5;0.758
C3;2018-02-21 10:40:00;67.81;20.29;145.7;0.766
C3;2018-02-21 10:50:00;67.92;20.26;159.8;0.762
C3;2018-02-21 11:00:00;66.9;19.81;160.3;0.764
C3;2018-02-21 11:10:00;67.78;20.18;145.9;0.761
C3;2018-02-21 11:20:00;67.99;20.2;158.4;0.757
C3;2018-02-21 11:30:00;67.58;19.9;157.9;0.753
C3;2018-02-21 11:40:00;68.35;20.38;147.8;0.757
C3;2018-02-21 11:50:00;67.58;19.86;159.2;0.751
C3;2018-02-21 12:00:00;68.1;20.33;157.7;0.761
C3;2018-02-21 12:10:00;67.94;20.16;145.3;0.756
C3;2018-02-21 12:20:00;67.44;19.86;158.1;0.754
C3;2018-02-21 12:30:00;67.97;20.32;158.7;0.763
C3;2018-02-21 12:40:00;67.57;19.87;146.6;0.751
C3;2018-02-21 12:50:00;67.74;20.09;156.5;0.758
C3;2018-02-21 13:00:00;68.24;20.31;157.9;0.756
C3;2018-02-21 13:10:00;67.16;19.87;145;0.761
C3;2018-02-21 13:20:00;67.9;20.24;157.7;0.761
C3;2018-02-21 13:30:00;68.41;20.18;157.8;0.746
C3;2018-02-21 13:40:00;67.29;19.85;145.5;0.757
C3;2018-02-21 13:50:00;68.1;20.3;159.1;0.759
C3;2018-02-21 14:00:00;66.86;19.85;153.3;0.767
C3;2018-02-21 14:10:00;67.61;20.11;150.1;0.762
C3;2018-02-21 14:20:00;67.91;20.24;156.6;0.761
C3;2018-02-21 14:30:00;67.55;19.99;162.2;0.758
C3;2018-02-21 14:40:00;67.69;20.15;150.3;0.762
C3;2018-02-21 14:50:00;68.57;20.29;146.3;0.748
C3;2018-02-21 15:00:00;67.51;20.03;156.1;0.761
C3;2018-02-21 15:10:00;67.72;20.09;146.9;0.758
C3;2018-02-21 15:20:00;68.27;20.26;161;0.753
C3;2018-02-21 15:30:00;67.01;19.76;162.6;0.76
C3;2018-02-21 15:40:00;66.88;20.17;145.3;0.782
C3;2018-02-21 15:50:00;67.68;20.18;161.7;0.763
C3;2018-02-21 16:00:00;67.33;19.92;163.7;0.76
C3;2018-02-21 16:10:00;67.56;20.13;144.8;0.764
C3;2018-02-21 16:20:00;67.9;20.23;159.7;0.761
C3;2018-02-21 16:30:00;67.35;19.85;161.7;0.756
C3;2018-02-21 16:40:00;68.22;20.25;159.9;0.754
C3;2018-02-21 16:50:00;67.72;19.91;155.4;0.75
C3;2018-02-21 17:00:00;67.93;20.25;154.1;0.761
C3;2018-02-21 17:10:00;68.02;20.18;159;0.756
C3;2018-02-21 17:20:00;67.11;19.89;144.7;0.763
C3;2018-02-21 17:30:00;67.75;20.19;156.1;0.762
C3;2018-02-21 17:40:00;67.96;20.12;147.3;0.754
C3;2018-02-21 17:50:00;67.43;19.95;153.4;0.758
C3;2018-02-21 18:00:00;68.55;20.3;156.7;0.749
C3;2018-02-21 18:10:00;67.47;19.9;143.3;0.755
C3;2018-02-21 18:20:00;67.77;20.02;155;0.754
C3;2018-02-21 18:30:00;68.18;20.29;158.3;0.757
C3;2018-02-21 18:40:00;67.31;19.69;148.3;0.749
C3;2018-02-21 18:50:00;67.3;20.02;160;0.765
C3;2018-02-21 19:00:00;68.12;20.24;162;0.756
C3;2018-02-21 19:10:00;67.59;19.86;149.2;0.75
C3;2018-02-21 19:20:00;67.21;20;164;0.766
C3;2018-02-21 19:30:00;68.52;20.38;164;0.753
C3;2018-02-21 19:40:00;67.86;19.78;149.5;0.741
C3;2018-02-21 19:50:00;67.59;20.1;156.1;0.762
C3;2018-02-21 20:00:00;68.48;20.2;152.3;0.746
C3;2018-02-21 20:10:00;64.62;18.65;7.33;0.759
C3;2018-02-21 20:20:00;62.34;16.95;7.26;0.726
C3;2018-02-21 20:30:00;64.27;17.76;7.59;0.726
C3;2018-02-21 20:40:00;61.73;16.8;7.52;0.732
C3;2018-02-21 20:50:00;64.2;17.71;7.71;0.725
C3;2018-02-21 21:00:00;61.53;16.64;7.52;0.728
C3;2018-02-21 21:10:00;62.63;17.36;7.65;0.74
C3;2018-02-21 21:20:00;61.82;16.74;7.59;0.727
C3;2018-02-21 21:30:00;62.44;17.31;7.59;0.741
C3;2018-02-21 21:40:00;61.93;16.79;7.71;0.727
C3;2018-02-21 21:50:00;62.91;17.23;7.65;0.728
C3;2018-02-21 22:00:00;62.01;16.98;7.52;0.735
C3;2018-02-21 22:10:00;61.83;17.07;7.65;0.74
C3;2018-02-21 22:20:00;61.95;17;7.71;0.737
C3;2018-02-21 22:30:00;61.79;16.95;7.65;0.737
C3;2018-02-21 22:40:00;62.48;17;7.65;0.726
C3;2018-02-21 22:50:00;61.84;16.91;7.59;0.734
C3;2018-02-21 23:00:00;64.45;17.14;7.71;0.694
C3;2018-02-21 23:10:00;62.01;17.08;7.59;0.739
C3;2018-02-21 23:20:00;62.05;17.01;7.71;0.735
C3;2018-02-21 23:30:00;61.24;16.85;7.71;0.742
C3;2018-02-21 23:40:00;63.19;17.07;7.71;0.715
C3;2018-02-21 23:50:00;61.77;16.78;7.65;0.73
C3;2018-02-22 00:00:00;62.65;17.08;7.65;0.726
C3;2018-02-22 00:10:00;62.28;16.67;7.71;0.715
C3;2018-02-22 00:20:00;62.9;17.3;7.65;0.732
C3;2018-02-22 00:30:00;61.94;16.76;7.65;0.726
C3;2018-02-22 00:40:00;62.27;17.19;7.71;0.739
C3;2018-02-22 00:50:00;62.27;16.68;7.65;0.715
